Data Prediction, VIS in LSTM
1,20.745
1,20.863
1,20.946
1,20.992
1,20.998
1,20.964
1,20.892
1,20.784
1,20.645
1,20.480
1,20.296
1,20.101
1,19.901
1,19.705
1,19.521
1,19.356
1,19.217
1,19.109
1,19.037
1,19.003
1,19.008
1,19.053
1,19.136
1,19.254
1,19.401
1,19.572
1,19.760
1,19.958
1,20.157
1,20.350
1,20.529
1,20.687
1,20.818
1,20.916
1,20.977
1,21.000
1,20.983
1,20.926
1,20.833
1,20.706
1,20.551
1,20.375
1,20.183
1,19.984
1,19.786
1,19.596
1,19.422
1,19.272
1,19.150
1,19.062
1,19.012
1,19.001
1,19.030
1,19.097
1,19.201
1,19.336
1,19.498
1,19.680
1,19.875
1,20.074
1,20.271
1,20.457
1,20.624
1,20.767
1,20.879
1,20.956
1,20.995
1,20.995
1,20.954
1,20.876
1,20.763
1,20.619
1,20.450
1,20.264
1,20.067
1,19.868
1,19.673
1,19.492
1,19.331
1,19.197
1,19.094
1,19.028
1,19.001
1,19.013
1,19.065
1,19.154
1,19.277
1,19.428
1,19.602
1,19.793
1,19.991
1,20.190
1,20.381
1,20.557
1,20.711
1,20.837
1,20.929
1,20.984
1,21.000
1,20.976
1,20.913
1,20.814
1,20.682
1,20.523
1,20.343
1,20.150
1,19.950
1,19.753
1,19.565
1,19.395
1,19.249
1,19.133
1,19.051
1,19.007
1,19.003
1,19.039
1,19.112
1,19.222
1,19.362
1,19.528
1,19.712
1,19.908
1,20.108
1,20.303
1,20.486
1,20.650
1,20.788
1,20.895
1,20.966
1,20.998
1,20.991
1,20.944
1,20.859
1,20.740
1,20.592
1,20.420
1,20.232
1,20.034
1,19.834
1,19.642
1,19.463
1,19.306
1,19.177
1,19.081
1,19.021
1,19.000
1,19.019
1,19.077
1,19.172
1,19.300
1,19.456
1,19.634
1,19.826
1,20.025
1,20.223
1,20.412
1,20.585
1,20.734
1,20.855
1,20.941
1,20.989
1,20.999
1,20.968
1,20.899
1,20.794
1,20.657
1,20.494
1,20.312
1,20.117
1,19.917
1,19.721
1,19.535
1,19.369
1,19.227
1,19.117
1,19.041
1,19.004
1,19.006
1,19.048
1,19.128
1,19.243
1,19.388
1,19.557
1,19.744
1,19.942
1,20.141
1,20.335
1,20.516
1,20.675
1,20.808
1,20.909
1,20.974
1,21.000
1,20.985
1,20.932
1,20.841
1,20.717
1,20.565
1,20.389
1,20.199

Yes I Can
