Data Prediction, VIS in LSTM
1,19.695
1,19.990
1,20.286
1,20.557
1,20.777
1,20.928
1,20.997
1,20.976
1,20.868
1,20.683
1,20.436
1,20.151
1,19.852
1,19.566
1,19.319
1,19.133
1,19.025
1,19.003
1,19.071
1,19.221
1,19.441
1,19.711
1,20.007
1,20.302
1,20.570
1,20.788
1,20.935
1,20.998
1,20.972
1,20.860
1,20.670
1,20.421
1,20.134
1,19.835
1,19.551
1,19.307
1,19.125
1,19.021
1,19.004
1,19.077
1,19.232
1,19.455
1,19.727
1,20.024
1,20.318
1,20.584
1,20.798
1,20.940
1,20.999
1,20.968
1,20.851
1,20.658
1,20.406
1,20.117
1,19.819
1,19.536
1,19.295
1,19.117
1,19.018
1,19.006
1,19.083
1,19.243
1,19.469
1,19.744
1,20.041
1,20.334
1,20.598
1,20.808
1,20.946
1,21.000
1,20.964
1,20.842
1,20.645
1,20.390
1,20.101
1,19.802
1,19.521
1,19.283
1,19.109
1,19.015
1,19.008
1,19.090
1,19.254
1,19.484
1,19.760
1,20.057
1,20.350
1,20.611
1,20.818
1,20.951
1,21.000
1,20.959
1,20.833
1,20.632
1,20.375
1,20.084
1,19.786
1,19.507
1,19.272
1,19.102
1,19.012
1,19.011
1,19.097
1,19.265
1,19.498
1,19.776
1,20.074
1,20.366
1,20.624
1,20.827
1,20.956
1,21.000
1,20.954
1,20.823
1,20.619
1,20.359
1,20.067
1,19.769
1,19.492
1,19.260
1,19.094
1,19.010
1,19.013
1,19.105
1,19.277
1,19.513
1,19.793
1,20.091
1,20.381
1,20.637
1,20.837
1,20.961
1,21.000
1,20.949
1,20.814
1,20.606
1,20.343
1,20.050
1,19.753
1,19.478
1,19.249
1,19.087
1,19.007
1,19.016
1,19.112
1,19.288
1,19.528
1,19.809
1,20.108
1,20.397
1,20.650
1,20.846
1,20.966
1,20.999
1,20.944
1,20.804
1,20.592
1,20.327
1,20.034
1,19.737
1,19.463
1,19.238
1,19.081
1,19.005
1,19.019
1,19.120
1,19.300
1,19.542
1,19.826
1,20.124
1,20.412
1,20.663
1,20.855
1,20.970
1,20.999
1,20.938
1,20.794
1,20.578
1,20.312
1,20.017
1,19.721
1,19.449
1,19.227
1,19.074
1,19.004
1,19.022
1,19.128
1,19.312
1,19.557
1,19.842
1,20.141
1,20.427
1,20.675
1,20.863
1,20.974
1,20.997
1,20.932
1,20.783
1,20.565
1,20.296

Yes I Can
