Data Prediction, VIS in LSTM
1,15.000
1,15.200
1,15.397
1,15.591
1,15.779
1,15.959
1,16.129
1,16.288
1,16.435
1,16.567
1,16.683
1,16.782
1,16.864
1,16.927
1,16.971
1,16.995
1,16.999
1,16.983
1,16.948
1,16.893
1,16.819
1,16.726
1,16.617
1,16.491
1,16.351
1,16.197
1,16.031
1,15.855
1,15.670
1,15.478
1,15.282
1,15.083
1,14.883
1,14.685
1,14.489
1,14.298
1,14.115
1,13.940
1,13.776
1,13.624
1,13.486
1,13.363
1,13.257
1,13.168
1,13.097
1,13.045
1,13.013
1,13.000
1,13.008
1,13.035
1,13.082
1,13.148
1,13.233
1,13.335
1,13.454
1,13.589
1,13.737
1,13.899
1,14.071
1,14.252
1,14.441
1,14.636
1,14.834
1,15.034
1,15.233
1,15.430
1,15.623
1,15.810
1,15.988
1,16.157
1,16.314
1,16.458
1,16.587
1,16.701
1,16.797
1,16.876
1,16.936
1,16.976
1,16.997
1,16.998
1,16.979
1,16.940
1,16.881
1,16.804
1,16.709
1,16.597
1,16.469
1,16.326
1,16.170
1,16.002
1,15.824
1,15.638
1,15.446
1,15.249
1,15.050
1,14.850
1,14.651
1,14.456
1,14.267
1,14.085
1,13.912
1,13.750
1,13.600
1,13.465
1,13.344
1,13.241
1,13.154
1,13.087
1,13.038
1,13.009
1,13.000
1,13.011
1,13.042
1,13.092
1,13.161
1,13.249
1,13.354
1,13.476
1,13.613
1,13.764
1,13.927
1,14.101
1,14.284
1,14.474
1,14.669
1,14.867
1,15.067
1,15.266
1,15.463
1,15.655
1,15.840
1,16.017
1,16.184
1,16.339
1,16.481
1,16.608
1,16.718
1,16.812
1,16.887
1,16.944
1,16.981
1,16.999
1,16.996
1,16.974
1,16.931
1,16.870
1,16.790
1,16.691
1,16.577
1,16.446
1,16.301
1,16.142
1,15.973
1,15.793
1,15.606
1,15.413
1,15.216
1,15.016
1,14.816
1,14.618
1,14.424
1,14.236
1,14.055
1,13.884
1,13.724
1,13.576
1,13.443
1,13.326
1,13.225
1,13.142
1,13.077
1,13.032
1,13.006
1,13.000
1,13.015
1,13.049
1,13.102
1,13.175
1,13.266
1,13.374
1,13.498
1,13.637
1,13.790
1,13.955
1,14.131
1,14.315
1,14.506
1,14.702
1,14.901
1,15.101
1,15.300
1,15.496
1,15.687
1,15.871
1,16.046
1,16.211
1,16.364
1,16.503
1,16.627
1,16.735

Yes I Can
