Data Prediction, VIS in LSTM
1,15.000
1,15.050
1,15.099
1,15.148
1,15.195
1,15.240
1,15.282
1,15.322
1,15.359
1,15.392
1,15.421
1,15.446
1,15.466
1,15.482
1,15.493
1,15.499
1,15.500
1,15.496
1,15.487
1,15.473
1,15.455
1,15.432
1,15.404
1,15.373
1,15.338
1,15.299
1,15.258
1,15.214
1,15.167
1,15.120
1,15.071
1,15.021
1,14.971
1,14.921
1,14.872
1,14.825
1,14.779
1,14.735
1,14.694
1,14.656
1,14.622
1,14.591
1,14.564
1,14.542
1,14.524
1,14.511
1,14.503
1,14.500
1,14.502
1,14.509
1,14.521
1,14.537
1,14.558
1,14.584
1,14.614
1,14.647
1,14.684
1,14.725
1,14.768
1,14.813
1,14.860
1,14.909
1,14.958
1,15.008
1,15.058
1,15.108
1,15.156
1,15.202
1,15.247
1,15.289
1,15.328
1,15.364
1,15.397
1,15.425
1,15.449
1,15.469
1,15.484
1,15.494
1,15.499
1,15.499
1,15.495
1,15.485
1,15.470
1,15.451
1,15.427
1,15.399
1,15.367
1,15.331
1,15.292
1,15.251
1,15.206
1,15.160
1,15.111
1,15.062
1,15.012
1,14.962
1,14.913
1,14.864
1,14.817
1,14.771
1,14.728
1,14.687
1,14.650
1,14.616
1,14.586
1,14.560
1,14.539
1,14.522
1,14.510
1,14.502
1,14.500
1,14.503
1,14.510
1,14.523
1,14.540
1,14.562
1,14.589
1,14.619
1,14.653
1,14.691
1,14.732
1,14.775
1,14.821
1,14.868
1,14.917
1,14.967
1,15.017
1,15.067
1,15.116
1,15.164
1,15.210
1,15.254
1,15.296
1,15.335
1,15.370
1,15.402
1,15.430
1,15.453
1,15.472
1,15.486
1,15.495
1,15.500
1,15.499
1,15.493
1,15.483
1,15.467
1,15.447
1,15.423
1,15.394
1,15.361
1,15.325
1,15.286
1,15.243
1,15.198
1,15.152
1,15.103
1,15.054
1,15.004
1,14.954
1,14.905
1,14.856
1,14.809
1,14.764
1,14.721
1,14.681
1,14.644
1,14.611
1,14.581
1,14.556
1,14.535
1,14.519
1,14.508
1,14.502
1,14.500
1,14.504
1,14.512
1,14.526
1,14.544
1,14.566
1,14.593
1,14.625
1,14.659
1,14.698
1,14.739
1,14.783
1,14.829
1,14.877
1,14.926
1,14.975
1,15.025
1,15.075
1,15.124
1,15.172
1,15.218
1,15.262
1,15.303
1,15.341
1,15.376
1,15.407
1,15.434

Yes I Can
