Data Prediction, VIS in LSTM
1,25.000
1,25.300
1,25.596
1,25.887
1,26.168
1,26.438
1,26.694
1,26.933
1,27.152
1,27.350
1,27.524
1,27.674
1,27.796
1,27.891
1,27.956
1,27.992
1,27.999
1,27.975
1,27.922
1,27.839
1,27.728
1,27.590
1,27.425
1,27.237
1,27.026
1,26.795
1,26.547
1,26.282
1,26.005
1,25.718
1,25.423
1,25.125
1,24.825
1,24.527
1,24.233
1,23.948
1,23.672
1,23.410
1,23.164
1,22.937
1,22.730
1,22.545
1,22.385
1,22.252
1,22.145
1,22.067
1,22.019
1,22.000
1,22.012
1,22.053
1,22.123
1,22.223
1,22.350
1,22.503
1,22.682
1,22.883
1,23.106
1,23.348
1,23.606
1,23.878
1,24.162
1,24.454
1,24.751
1,25.050
1,25.350
1,25.645
1,25.935
1,26.215
1,26.482
1,26.735
1,26.971
1,27.187
1,27.381
1,27.551
1,27.696
1,27.814
1,27.904
1,27.965
1,27.996
1,27.997
1,27.968
1,27.910
1,27.822
1,27.707
1,27.564
1,27.395
1,27.203
1,26.989
1,26.755
1,26.503
1,26.236
1,25.957
1,25.669
1,25.373
1,25.074
1,24.775
1,24.477
1,24.185
1,23.901
1,23.627
1,23.368
1,23.125
1,22.900
1,22.697
1,22.517
1,22.361
1,22.232
1,22.130
1,22.057
1,22.014
1,22.000
1,22.016
1,22.062
1,22.138
1,22.242
1,22.374
1,22.532
1,22.714
1,22.919
1,23.146
1,23.390
1,23.651
1,23.925
1,24.210
1,24.503
1,24.801
1,25.101
1,25.400
1,25.695
1,25.982
1,26.261
1,26.526
1,26.776
1,27.009
1,27.221
1,27.411
1,27.577
1,27.718
1,27.831
1,27.916
1,27.972
1,27.998
1,27.994
1,27.960
1,27.897
1,27.805
1,27.684
1,27.537
1,27.365
1,27.169
1,26.951
1,26.714
1,26.459
1,26.190
1,25.909
1,25.619
1,25.323
1,25.024
1,24.724
1,24.427
1,24.136
1,23.854
1,23.583
1,23.326
1,23.086
1,22.865
1,22.665
1,22.489
1,22.337
1,22.213
1,22.116
1,22.048
1,22.009
1,22.001
1,22.022
1,22.073
1,22.153
1,22.262
1,22.398
1,22.561
1,22.747
1,22.956
1,23.186
1,23.433
1,23.696
1,23.973
1,24.259
1,24.553
1,24.851
1,25.151
1,25.450
1,25.744
1,26.030
1,26.306
1,26.569
1,26.817
1,27.046
1,27.255
1,27.441
1,27.603

Yes I Can
