Data Prediction, VIS in LSTM
1,0.000
1,0.100
1,0.199
1,0.296
1,0.389
1,0.479
1,0.565
1,0.644
1,0.717
1,0.783
1,0.841
1,0.891
1,0.932
1,0.964
1,0.985
1,0.997
1,1.000
1,0.992
1,0.974
1,0.946
1,0.909
1,0.863
1,0.808
1,0.746
1,0.675
1,0.598
1,0.516
1,0.427
1,0.335
1,0.239
1,0.141
1,0.042
1,-0.058
1,-0.158
1,-0.256
1,-0.351
1,-0.443
1,-0.530
1,-0.612
1,-0.688
1,-0.757
1,-0.818
1,-0.872
1,-0.916
1,-0.952
1,-0.978
1,-0.994
1,-1.000
1,-0.996
1,-0.982
1,-0.959
1,-0.926
1,-0.883
1,-0.832
1,-0.773
1,-0.706
1,-0.631
1,-0.551
1,-0.465
1,-0.374
1,-0.279
1,-0.182
1,-0.083
1,0.017
1,0.117
1,0.215
1,0.312
1,0.405
1,0.494
1,0.578
1,0.657
1,0.729
1,0.794
1,0.850
1,0.899
1,0.938
1,0.968
1,0.988
1,0.999
1,0.999
1,0.989
1,0.970
1,0.941
1,0.902
1,0.855
1,0.798
1,0.734
1,0.663
1,0.585
1,0.501
1,0.412
1,0.319
1,0.223
1,0.124
1,0.025
1,-0.075
1,-0.174
1,-0.272
1,-0.366
1,-0.458
1,-0.544
1,-0.625
1,-0.700
1,-0.768
1,-0.828
1,-0.880
1,-0.923
1,-0.957
1,-0.981
1,-0.995
1,-1.000
1,-0.995
1,-0.979
1,-0.954
1,-0.919
1,-0.875
1,-0.823
1,-0.762
1,-0.694
1,-0.618
1,-0.537
1,-0.450
1,-0.358
1,-0.263
1,-0.166
1,-0.066
1,0.034
1,0.133
1,0.232
1,0.327
1,0.420
1,0.509
1,0.592
1,0.670
1,0.740
1,0.804
1,0.859
1,0.906
1,0.944
1,0.972
1,0.991
1,0.999
1,0.998
1,0.987
1,0.966
1,0.935
1,0.895
1,0.846
1,0.788
1,0.723
1,0.650
1,0.571
1,0.486
1,0.397
1,0.303
1,0.206
1,0.108
1,0.008
1,-0.092
1,-0.191
1,-0.288
1,-0.382
1,-0.472
1,-0.558
1,-0.638
1,-0.712
1,-0.778
1,-0.837
1,-0.888
1,-0.929
1,-0.961
1,-0.984
1,-0.997
1,-1.000
1,-0.993
1,-0.976
1,-0.949
1,-0.913
1,-0.867
1,-0.813
1,-0.751
1,-0.681
1,-0.605
1,-0.522
1,-0.435
1,-0.342
1,-0.247
1,-0.149
1,-0.050
1,0.050
1,0.150
1,0.248
1,0.343
1,0.435
1,0.523
1,0.606
1,0.682
1,0.752
1,0.814
1,0.868

Yes I Can
