Data Prediction, VIS in LSTM
1,20.000
1,20.050
1,20.100
1,20.149
1,20.199
1,20.247
1,20.296
1,20.343
1,20.389
1,20.435
1,20.479
1,20.523
1,20.565
1,20.605
1,20.644
1,20.682
1,20.717
1,20.751
1,20.783
1,20.813
1,20.841
1,20.867
1,20.891
1,20.913
1,20.932
1,20.949
1,20.964
1,20.976
1,20.985
1,20.993
1,20.997
1,21.000
1,21.000
1,20.997
1,20.992
1,20.984
1,20.974
1,20.961
1,20.946
1,20.929
1,20.909
1,20.887
1,20.863
1,20.837
1,20.808
1,20.778
1,20.746
1,20.711
1,20.675
1,20.638
1,20.598
1,20.558
1,20.516
1,20.472
1,20.427
1,20.382
1,20.335
1,20.287
1,20.239
1,20.190
1,20.141
1,20.091
1,20.042
1,19.992
1,19.942
1,19.892
1,19.842
1,19.793
1,19.744
1,19.696
1,19.649
1,19.603
1,19.557
1,19.513
1,19.470
1,19.428
1,19.388
1,19.349
1,19.312
1,19.277
1,19.243
1,19.211
1,19.182
1,19.154
1,19.128
1,19.105
1,19.084
1,19.065
1,19.048
1,19.034
1,19.022
1,19.013
1,19.006
1,19.002
1,19.000
1,19.001
1,19.004
1,19.009
1,19.018
1,19.028
1,19.041
1,19.056
1,19.074
1,19.094
1,19.117
1,19.141
1,19.168
1,19.196
1,19.227
1,19.260
1,19.294
1,19.331
1,19.369
1,19.408
1,19.449
1,19.492
1,19.535
1,19.580
1,19.626
1,19.673
1,19.721
1,19.769
1,19.818
1,19.867
1,19.917
1,19.967
1,20.017
1,20.067
1,20.117
1,20.166
1,20.215
1,20.264
1,20.312
1,20.359
1,20.405
1,20.450
1,20.494
1,20.537
1,20.578
1,20.618
1,20.657
1,20.694
1,20.729
1,20.762
1,20.794
1,20.823
1,20.850
1,20.876
1,20.899
1,20.920
1,20.938
1,20.954
1,20.968
1,20.979
1,20.988
1,20.995
1,20.999
1,21.000
1,20.999
1,20.995
1,20.989
1,20.981
1,20.970
1,20.957
1,20.941
1,20.923
1,20.902
1,20.879
1,20.855
1,20.828
1,20.798
1,20.767
1,20.734
1,20.700
1,20.663
1,20.625
1,20.585
1,20.544
1,20.501
1,20.457
1,20.412
1,20.366
1,20.319
1,20.271
1,20.223
1,20.174
1,20.124
1,20.075
1,20.025
1,19.975
1,19.925
1,19.875
1,19.826
1,19.777
1,19.728
1,19.680
1,19.634
1,19.587
1,19.542
1,19.499

Yes I Can
