Data Prediction, VIS in LSTM
1,10.000
1,10.050
1,10.100
1,10.149
1,10.199
1,10.247
1,10.296
1,10.343
1,10.389
1,10.435
1,10.479
1,10.523
1,10.565
1,10.605
1,10.644
1,10.682
1,10.717
1,10.751
1,10.783
1,10.813
1,10.841
1,10.867
1,10.891
1,10.913
1,10.932
1,10.949
1,10.964
1,10.976
1,10.985
1,10.993
1,10.997
1,11.000
1,11.000
1,10.997
1,10.992
1,10.984
1,10.974
1,10.961
1,10.946
1,10.929
1,10.909
1,10.887
1,10.863
1,10.837
1,10.808
1,10.778
1,10.746
1,10.711
1,10.675
1,10.638
1,10.598
1,10.558
1,10.516
1,10.472
1,10.427
1,10.382
1,10.335
1,10.287
1,10.239
1,10.190
1,10.141
1,10.091
1,10.042
1,9.992
1,9.942
1,9.892
1,9.842
1,9.793
1,9.744
1,9.696
1,9.649
1,9.603
1,9.557
1,9.513
1,9.470
1,9.428
1,9.388
1,9.349
1,9.312
1,9.277
1,9.243
1,9.211
1,9.182
1,9.154
1,9.128
1,9.105
1,9.084
1,9.065
1,9.048
1,9.034
1,9.022
1,9.013
1,9.006
1,9.002
1,9.000
1,9.001
1,9.004
1,9.009
1,9.018
1,9.028
1,9.041
1,9.056
1,9.074
1,9.094
1,9.117
1,9.141
1,9.168
1,9.196
1,9.227
1,9.260
1,9.294
1,9.331
1,9.369
1,9.408
1,9.449
1,9.492
1,9.535
1,9.580
1,9.626
1,9.673
1,9.721
1,9.769
1,9.818
1,9.867
1,9.917
1,9.967
1,10.017
1,10.067
1,10.117
1,10.166
1,10.215
1,10.264
1,10.312
1,10.359
1,10.405
1,10.450
1,10.494
1,10.537
1,10.578
1,10.618
1,10.657
1,10.694
1,10.729
1,10.762
1,10.794
1,10.823
1,10.850
1,10.876
1,10.899
1,10.920
1,10.938
1,10.954
1,10.968
1,10.979
1,10.988
1,10.995
1,10.999
1,11.000
1,10.999
1,10.995
1,10.989
1,10.981
1,10.970
1,10.957
1,10.941
1,10.923
1,10.902
1,10.879
1,10.855
1,10.828
1,10.798
1,10.767
1,10.734
1,10.700
1,10.663
1,10.625
1,10.585
1,10.544
1,10.501
1,10.457
1,10.412
1,10.366
1,10.319
1,10.271
1,10.223
1,10.174
1,10.124
1,10.075
1,10.025
1,9.975
1,9.925
1,9.875
1,9.826
1,9.777
1,9.728
1,9.680
1,9.634
1,9.587
1,9.542
1,9.499

Yes I Can
