Data Prediction, VIS in LSTM
1,5.000
1,5.050
1,5.099
1,5.148
1,5.195
1,5.240
1,5.282
1,5.322
1,5.359
1,5.392
1,5.421
1,5.446
1,5.466
1,5.482
1,5.493
1,5.499
1,5.500
1,5.496
1,5.487
1,5.473
1,5.455
1,5.432
1,5.404
1,5.373
1,5.338
1,5.299
1,5.258
1,5.214
1,5.167
1,5.120
1,5.071
1,5.021
1,4.971
1,4.921
1,4.872
1,4.825
1,4.779
1,4.735
1,4.694
1,4.656
1,4.622
1,4.591
1,4.564
1,4.542
1,4.524
1,4.511
1,4.503
1,4.500
1,4.502
1,4.509
1,4.521
1,4.537
1,4.558
1,4.584
1,4.614
1,4.647
1,4.684
1,4.725
1,4.768
1,4.813
1,4.860
1,4.909
1,4.958
1,5.008
1,5.058
1,5.108
1,5.156
1,5.202
1,5.247
1,5.289
1,5.328
1,5.364
1,5.397
1,5.425
1,5.449
1,5.469
1,5.484
1,5.494
1,5.499
1,5.499
1,5.495
1,5.485
1,5.470
1,5.451
1,5.427
1,5.399
1,5.367
1,5.331
1,5.292
1,5.251
1,5.206
1,5.160
1,5.111
1,5.062
1,5.012
1,4.962
1,4.913
1,4.864
1,4.817
1,4.771
1,4.728
1,4.687
1,4.650
1,4.616
1,4.586
1,4.560
1,4.539
1,4.522
1,4.510
1,4.502
1,4.500
1,4.503
1,4.510
1,4.523
1,4.540
1,4.562
1,4.589
1,4.619
1,4.653
1,4.691
1,4.732
1,4.775
1,4.821
1,4.868
1,4.917
1,4.967
1,5.017
1,5.067
1,5.116
1,5.164
1,5.210
1,5.254
1,5.296
1,5.335
1,5.370
1,5.402
1,5.430
1,5.453
1,5.472
1,5.486
1,5.495
1,5.500
1,5.499
1,5.493
1,5.483
1,5.467
1,5.447
1,5.423
1,5.394
1,5.361
1,5.325
1,5.286
1,5.243
1,5.198
1,5.152
1,5.103
1,5.054
1,5.004
1,4.954
1,4.905
1,4.856
1,4.809
1,4.764
1,4.721
1,4.681
1,4.644
1,4.611
1,4.581
1,4.556
1,4.535
1,4.519
1,4.508
1,4.502
1,4.500
1,4.504
1,4.512
1,4.526
1,4.544
1,4.566
1,4.593
1,4.625
1,4.659
1,4.698
1,4.739
1,4.783
1,4.829
1,4.877
1,4.926
1,4.975
1,5.025
1,5.075
1,5.124
1,5.172
1,5.218
1,5.262
1,5.303
1,5.341
1,5.376
1,5.407
1,5.434

Yes I Can
